# UNMATCHED CSV ENTRIES - Manual Mapping Required
# These 76 CSV entries have your explicit values but couldn't be auto-matched to code

# YOUR TASK: For each row below, find the correct internal name from the code
# Then either:
#   A) Update the CSV's "Internal Name" column manually, OR
#   B) Tell me the mappings and I'll update them

# To find internal names, search *Family.cpp files for spec.name assignments

# ============================================================================
# Format: CSV_Row_Number | CSV_Descriptive_Name | Your_Values
# ============================================================================

1 | Aizawa Attractor | X=, Y=, Width=
2 | Chen-Lee Attractor | X=, Y=, Width=
3 | Dadras Attractor | X=, Y=, Width=
4 | Halvorsen Attractor | X=, Y=, Width=
6 | Pickover Attractor | X=, Y=, Width=
7 | Thomas Attractor | X=, Y=, Width=
17 | Mandelbrot Parameter Space | X=, Y=, Width=
18 | May-Lyapunov Reference | X=, Y=, Width=
20 | Burning Ship (Power 3) | X=, Y=, Width=
21 | Burning Ship (Power 4) | X=, Y=, Width=
43 | Chebyshev | X=-0.8737499999999998, Y=-0.01, Width=1.2000000000E+00
45 | 1/sin(z)² | X=, Y=, Width=
46 | cos(z)/tan(z) | X=, Y=, Width=
48 | Tetration (z^z) | X=-1.12, Y=0.18, Width=3.7968605725E+01
49 | Trig + Trig | X=, Y=, Width=
50 | Trig × Trig | X=, Y=, Width=
51 | Trig Squared | X=, Y=, Width=
52 | z·sin(z) + z | X=, Y=, Width=
53 | Burning Ship (Distance Estimator) | X=, Y=, Width=
54 | Julia (Distance Estimator) | X=, Y=, Width=
56 | Tricorn (Distance Estimator) | X=, Y=, Width=
57 | Jacobi Elliptic sn | X=0.00, Y=0.04, Width=1.9657483302E+01
58 | Weierstrauss p-function | X=-7.08, Y=0.15, Width=1.5544412705E+01
59 | Buffalo Fractal | X=0.00, Y=0.00, Width=6.0000000000E+00
68 | Magnet II | X=, Y=, Width=
75 | Lambda Lambda Exponential | X=-2.50, Y=0.00, Width=1.2000000000E+01
76 | Lambda Mandel Exponential | X=0.00, Y=0.00, Width=3.7377883029E+01
77 | Logarithm Fractal | X=0.88, Y=0.00, Width=3.7500000000E-01
79 | Mandelbrot Exponential | X=-1.75, Y=0.00, Width=3.0000000000E+00
81 | z^z + c | X=0.50, Y=0.00, Width=1.5000000000E+00
91 | Burning Mandelbrot Hybrid | X=-0.50, Y=0.00, Width=3.7942978950E+00
93 | Celtic-Burning Ship Hybrid | X=-0.50, Y=0.00, Width=4.1877356095E+00
94 | Collatz-Style Hybrid | X=0.00, Y=0.00, Width=6.0000000000E+00
95 | Exponential-Mandelbrot Blend | X=-1.40, Y=0.00, Width=3.0000000000E+00
96 | Exponential-Mandelbrot Hybrid | X=-1.40, Y=0.00, Width=5.6960146866E+00
97 | Magnet-Mandelbrot Hybrid | X=-2.00, Y=0.00, Width=1.9878954426E+01
98 | Mandelbrot-Burning Ship Hybrid | X=0.00, Y=0.00, Width=4.5202694987E+00
99 | Mandelbrot-Lambda Mix | X=-0.75, Y=0.00, Width=8.3170035400E+00
101 | Mutant Mandelbrot (Power Evolution) | X=-0.50, Y=0.00, Width=3.0000000000E+00
102 | Newton-Mandelbrot Blend | X=-0.75, Y=0.00, Width=1.0867649184E+01
104 | Sierpinski-Mandelbrot Cross | X=0.00, Y=0.00, Width=7.5000000000E+00
105 | Sine-Mandelbrot Hybrid | X=0.00, Y=0.00, Width=4.0000000000E+00
107 | Trig-Mandelbrot Blend | X=-0.37, Y=-0.01, Width=4.1593292609E+00
120 | Julia - Feigenbaum Point | X=-0.01, Y=-0.09, Width=4.4701327434E+00
130 | Julia - Seahorse Valley | X=0.03, Y=0.00, Width=3.2650046168E+00
145 | Julia - Lambda (Alt) | X=0.45, Y=-0.04, Width=6.0000000000E+00
150 | Julia - Power 5 | X=0.00, Y=0.00, Width=4.0000000000E+00
151 | Julia - Power 6 | X=0.00, Y=0.00, Width=5.9223668113E+00
165 | Magnet I Cubic | X=0.50, Y=0.00, Width=1.1708916568E+01
166 | Magnet I Julia | X=0.00, Y=0.06, Width=1.5913224864E+01
167 | Magnet II Cubic | X=-0.64, Y=0.10, Width=2.0325406911E+01
168 | Magnet II Julia | X=-2.05, Y=-0.39, Width=1.9784731066E+00
172 | Heart Mandelbrot (Sine) | X=-0.45, Y=0.00, Width=2.0000000000E+00
173 | Julia Power 4 | X=0.00, Y=0.00, Width=4.9481546654E+00
175 | Mandelbar (Conjugate) | X=0.00, Y=0.00, Width=6.0000000000E+00
176 | Mandelbrot Power 4 | X=0.00, Y=0.00, Width=4.0191504845E+00
177 | Mandelbrot-Lambda | X=1.00, Y=0.01, Width=6.0609152673E+00
180 | Marks Mandelbrot | X=-0.36, Y=0.00, Width=4.2426406871E+00
