FractalName,CenterX,CenterY,Zoom
Aizawa,0,0,1
AngleAverage,0,0,0.5
Arneodo,0,0,2.075
AverageDistance,0,0,0.5
BarnsleyFern,0,5.75,0.153006256
BarnsleyJ1,0.08908955,0.066643527,0.424231007
BarnsleyJ2,0,0,1.39E-01
BarnsleyJ3,-0.503924263,0.068051708,0.403301884
BarnsleyM1,-1.252332462,-0.018082386,3.49E-01
BarnsleyM2,-0.02017632,0.040816799,4.42E-01
BarnsleyM3,-1.516140229,0.024991322,0.5
Bedhead,0,0,0.125
BesselLikeFractal,-0.69665929008750527,-0.57148811196592697,0.15880767217357264
BifurcationMandel,1,0,0.451095271
Biomorph,-0.57,0.03,0.812252396
Biomorphs,0,0,1
BirdOfPrey,0,0,1
Buddhabrot,-0.33,0.03,0.8
Buffalo,0,0,0.5
BuffaloBurningShip,0,0,1
BuffaloPolynomial,-0.21,-0.58,0.7
BurningMandel,-0.5,0,0.790660112
BurningShip,-0.5,-0.5,1.422222222
BurningShip3,0,0,1
BurningShip4,0,0,1
BurningShipCubic,0,0,1
BurningShipDEM,0,0,1
BurningShipQuartic,0,0,1
BurningShipQuintic,0,0,1
CelticBuffalo,-0.29,-0.56,1.257078722
CelticBurningHybrid,-0.5,0,0.716377603
CelticBurningShip,0,0,1
CelticHeart,-0.54,0.04,0.827423168
CelticMandel,0,0,1
CelticMandelbrot,-0.75,0,0.7
ChebyshevPolynomial,-0.87,-0.01,2.5
ChenLee,0,0,1
ChipMap,0,0,1
CircularOrbitTrap,-0.09,-0.02,0.719303323
Clifford,0,0,0.5
CollatzFractal,0,0,1
CollatzHybrid,0,0,0.5
ComplexPower,0.5,0,1
ContinuedFraction,-3.65,-0.57,0.410348361
CoshMandelbrot,-0.83,1.59,0.250158679
CosTan,0,0,1
CosZ,1.53,0.04,0.233258248
CotMandel,-3.18,-0.2,0.294034091
CrossOrbitTrap,0,0,0.2
CscMandel,-3.15,0.01,0.401915048
CubicMandel,0,0,0.6
CurvatureTracking,0,0,0.8
Dadras,0,0,1
DeJong,0.17,0.07,0.375164763
DeltaMagnitude,0,0,0.2
DiagonalBurningShip,0,0,1
DragonCurveIFS,0.46,0.18,1.477383268
Duffing,1,0,42.16007052
DuffingMap,0,0,0.443281392
ErrorFunctionFractal,0,0.05,0.080494792
ExpMandelBlend,-1.4,0,1
ExpMandelHybrid,-1.4,0,0.526684035
Exponential,0.22,0.04,0.078046875
ExponentialJulia,0,0,1
ExponentialLogarithmic,-1,0,0.15
ExpSquare,0,0,1
GammaFractal,-1.13,-0.07,0.3
Hailstone,0.39,-0.44,0.02
Hailstone2D,0,0,1
HalleyCubic,0,0,0.0375
Halvorsen,0,0,1
HeartMandel,0,0,1
HeartMandelbrot,-0.45,0,1.5
HenonParameterSpace,0,0,1
HyperbolicCombo,-1.64,0.02,0.393574007
JacobiSN,0,0.04,0.152613636
Julia4,0,0,0.606286627
Julia5,0,0,0.75
Julia6,0,0,0.506554237
JuliaAirplane,0.03,-0.02,0.677695524
JuliaBackbone,-0.08,0.01,0.747289382
JuliaBurningShip,0,0,1
JuliaCauliflower,-0.04,-0.01,0.57085396
JuliaClassic,0,0,0.75
JuliaCrystal,0.2,-0.02,0.695037922
JuliaCubic,0,0.16,0.75
JuliaCustom,0,0,1
JuliaDEM,0,0,1
JuliaDendrite,0,0,0.673616804
JuliaDendritePreset,0,0,1
JuliaDouadyRabbit,0,0,0.757858283
JuliaDragon,0,0,1
JuliaDragonPreset,-0.04,-0.01,0.6991875
JuliaExp,0,0,1
JuliaEye,0.04,-0.01,0.762368781
JuliaFeigenbaum,-0.01,-0.09,0.67112101
JuliaFlower,-0.05,-0.03,0.700733496
JuliaFractalTree,0.05,0.03,0.876843291
JuliaFuzzyBlob,0.06,-0.02,0.752594866
