Index,Group Name,Group File,Fractal Name,Internal Name,P/F,Notes,Center X,Center Y,Reported Zoom,VP Tuning Status,Mark's Action?
1,Attractors,Attractors3DFamily.cpp,Aizawa Attractor,Aizawa,Pass,,0.00,0.00,5.0000000000E-01,,MIGRATED TO IC SERVICE
2,Attractors,Attractors3DFamily.cpp,Chen-Lee Attractor,ChenLee,Pass,,-0.33,0.11,2.1050524498E-02,,MIGRATED TO IC SERVICE
3,Attractors,Attractors3DFamily.cpp,Dadras Attractor,Dadras,Pass,,0.00,0.00,6.8869069593E-02,,MIGRATED TO IC SERVICE
4,Attractors,Attractors3DFamily.cpp,Halvorsen Attractor,Halvorsen,Pass,,-3.29,-3.89,7.6946525476E-02,,MIGRATED TO IC SERVICE
5,Attractors,Attractors3DFamily.cpp,Lorenz Attractor,Lorenz,Pass,,0.00,0.00,2.8955876983E-02,,MIGRATED TO IC SERVICE
6,Attractors,Attractors3DFamily.cpp,Pickover Attractor,Pickover,Pass,,0.00,0.00,4.4135149254E-01,,MIGRATED TO IC SERVICE
7,Attractors,Attractors3DFamily.cpp,Thomas Attractor,Thomas,Pass,,1.55,1.37,3.2759834899E-01,,MIGRATED TO IC SERVICE
8,Barnsley,BarnsleyFamily.cpp,Barnsley J1,BarnsleyJ1,Pass,,0.09,0.07,4.2423100739E-01,Change,MIGRATED TO IC SERVICE
9,Barnsley,BarnsleyFamily.cpp,Barnsley J2,BarnsleyJ2,Pass,,0.00,0.00,1.3869618369E-01,Change,MIGRATED TO IC SERVICE
10,Barnsley,BarnsleyFamily.cpp,Barnsley J3,BarnsleyJ3,Pass,,-0.50,0.07,4.0330188389E-01,Change,MIGRATED TO IC SERVICE
11,Barnsley,BarnsleyFamily.cpp,Barnsley M1,BarnsleyM1,Pass,,-1.25,-0.02,3.4868591399E-01,Change,MIGRATED TO IC SERVICE
12,Barnsley,BarnsleyFamily.cpp,Barnsley M2,BarnsleyM2,Pass,,-0.02,0.04,4.4197418460E-01,Change,MIGRATED TO IC SERVICE
13,Barnsley,BarnsleyFamily.cpp,Barnsley M3,BarnsleyM3,Pass,,-1.52,0.02,5.0000000000E-01,Change,MIGRATED TO IC SERVICE
14,Bifurcation,BifurcationFamily.cpp,Henon Bifurcation,HenonBifurcation,Pass,,1.20,0.00,2.0000000000E+00,Change,MIGRATED TO IC SERVICE
15,Bifurcation,BifurcationFamily.cpp,Henon Parameter Space,HenonParameterSpace,Pass,,0.51,-0.24,8.9730497543E-01,Change,
16,Bifurcation,,Lambda Bifurcation,LambdaBifurcation,Pass,,2.63,0.61,1.0000000000E+00,,
17,Bifurcation,BifurcationFamily.cpp,Lambda Parameter Space,LambdaParameterSpace,Pass,,1.00,0.01,5.8641747253E-01,Change,MIGRATED TO IC SERVICE
18,Bifurcation,,Logistic Bifurcation,LogisticBifurcation,Pass,,3.40,0.50,2.0000000000E+00,,
19,Bifurcation,BifurcationFamily.cpp,Mandelbrot Parameter Space,MandelParameter,Pass,,-0.26,0.02,7.6312960909E-01,,MIGRATED TO IC SERVICE
20,Bifurcation,BifurcationFamily.cpp,Orbit Diagram,OrbitDiagram,Pass,,-0.26,0.02,7.6312960909E-01,,MIGRATED TO IC SERVICE
21,Burning Ship Family,PowerVariantsFamily.cpp,Burning Ship (Power 3),BurningShip3,Pass,,0.08,0.15,5.9527811736E-01,,MIGRATED TO IC SERVICE
22,Burning Ship Family,PowerVariantsFamily.cpp,Burning Ship (Power 4),BurningShip4,Pass,,-0.05,0.18,7.6322490338E-01,,MIGRATED TO IC SERVICE
23,Burning Ship Variants,ClassicEscapeTimeFamily.cpp,Bird of Prey,BirdofPrey,Pass,,-0.53,0.00,1.0000000000E+00,,MIGRATED TO IC SERVICE
24,Burning Ship Variants,BurningShipFamily.cpp,Buffalo Burning Ship,BuffaloBurningShip,Pass,,0.03,0.44,6.0290391132E-01,,MIGRATED TO IC SERVICE
25,Burning Ship Variants,BurningShipFamily.cpp,Burning Ship Cubic,BurningShipCubic,Pass,,-0.01,0.11,5.3588673044E-01,,MIGRATED TO IC SERVICE
26,Burning Ship Variants,BurningShipFamily.cpp,Burning Ship Quartic,BurningShipQuartic,Pass,,-0.03,0.13,6.2749677835E-01,,MIGRATED TO IC SERVICE
27,Burning Ship Variants,BurningShipFamily.cpp,Burning Ship Quintic,BurningShipQuintic,Pass,,-0.07,-0.08,6.6340257476E-01,,MIGRATED TO IC SERVICE
28,Burning Ship Variants,BurningShipFamily.cpp,Celtic Burning Ship,CelticBurningShip,Pass,,-0.75,0.03,4.7963206011E-01,,MIGRATED TO IC SERVICE
29,Burning Ship Variants,BurningShipFamily.cpp,Diagonal Burning Ship,DiagonalBurningShip,Pass,,0.00,-0.196875,1.0000000000E+00,,MIGRATED TO IC SERVICE
30,Burning Ship Variants,ClassicEscapeTimeFamily.cpp,Partial Burning Ship,PartialBurningShip,Pass,,-0.37,0.07,6.1275692114E-01,,MIGRATED TO IC SERVICE
31,Burning Ship Variants,BurningShipFamily.cpp,Perpendicular Burning Ship,PerpendicularBurningShip,Pass,,-0.313411571,0.589989752,7.3186998998E-01,,MIGRATED TO IC SERVICE
32,Burning Ship Variants,BurningShipFamily.cpp,Reverse Burning Ship,ReverseBurningShip,Pass,,-0.38,-0.04,7.0020057134E-01,,MIGRATED TO IC SERVICE
33,Burning Ship Variants,BurningShipFamily.cpp,Shark Burning Ship,SharkBurningShip,Pass,,0.00,0.00,5.5124999603E+00,,MIGRATED TO IC SERVICE
34,Burning Ship Variants,BurningShipFamily.cpp,Vertical Burning Ship,VerticalBurningShip,Pass,looks almost exactly like Bird Of Prey.  Check formula or introduce more vairation,-0.22,-0.44,8.2812500000E-01,,MIGRATED TO IC SERVICE
35,Chaotic Maps,ChaoticMapsFamily.cpp,Arneodo Attractor,Arneodo,Pass,,0.00,0.00,2.0750000000E+00,,MIGRATED TO IC SERVICE
36,Chaotic Maps,ChaoticMapsFamily.cpp,Liu-Chen Attractor,LiuChen,Pass,,0.00,0.00,1.9432742000E-02,,MIGRATED TO IC SERVICE
37,Chaotic Maps,ChaoticMapsFamily.cpp,Rabinovich-Fabrikant Attractor,RabinovichFabrikant,Pass,,0.76,0.07,3.2376162907E-01,,MIGRATED TO IC SERVICE
38,Chaotic Maps,ChaoticMapsFamily.cpp,Sprott B Attractor,SprottB,Pass,,0.00,0.00,2.5000000000E-01,,MIGRATED TO IC SERVICE
39,Chemical Engineering,,Arrhenius Kinetics Map (Thermal Activation),ArrheniusKinetics,Pass,,-0.71,-0.01,4.3527528300E-01,,
