"Group Name","Fractal Count"
"Mandelbrot Variants","26"
"Julia Presets","23"
"Julia Sets","21"
"Hybrid Fractals","18"
"Trigonometric","12"
"Exponential Fractals","12"
"Burning Ship Variants","12"
"Trigonometric Fractals","11"
"Orbital Modifications","10"
"Phoenix Fractals","8"
"Polynomial","8"
"Rational Function Fractals","8"
"Historical Fractals","8"
"Polynomial Fractals","8"
"Newton's Method","8"
"Lambda Fractals","8"
"Complex Functions","8"
"Exotic","8"
"Special Function Fractals","7"
"Special","7"
"Attractors","7"
"Barnsley","6"
"Strange Attractors","6"
"Bifurcation","6"
"Iterated Function Systems","5"
"Classic Fractals","5"
"Distance Estimator","4"
"Orbit Modification","4"
"Orbit Trap","4"
"Chaotic Maps","4"
"Magnet Fractals","4"
"Exotic Fractals","3"
"Tricorn Family","2"
"Burning Ship Family","2"
