"Index","Fractal Family","Fractal Name","Rendering","Performance","Julia Mode","Zooming","Formula","Description","Status"
"1","Attractors","Chua's Circuit","Diagonal Band solid with diffused surroundings - LeftUpper to RightLower","01:06.68","Same rendering","Yes","","","✅ PHASE 2 COMPLETE: OrbitIterator implemented, histogram renderer operational"
"2","Attractors","Hénon Map","","","","","","","✅ PHASE 2 COMPLETE: OrbitIterator implemented, histogram renderer operational"
"2","Attractors","Hénon Map","","","","","","","✅ PHASE 2 COMPLETE: OrbitIterator implemented, histogram renderer operational"
"3","Attractors","Hopalong Attractor","Solid green background with faint brush streaks of flecks reddish or brown in color, not much interest","00:32.42","Same rendering","Yes","","","✅ PHASE 2 COMPLETE: OrbitIterator implemented, histogram renderer operational"
"4","Attractors","Ikeda Map","Solid greener background with random pattern of multicolored flecks.  Faint outline of missing flecks in a curved shape","00:55.50","","","","","✅ PHASE 2 COMPLETE: OrbitIterator implemented, histogram renderer operational"
"5","Attractors","Lorenz Attractor","Rainbow colored spectrum of diffuse diagonal bands with three sharply defined diagonal bands in the center of the band family","00:26.97","","","","","✅ PHASE 2 COMPLETE: OrbitIterator implemented, histogram renderer operational, VERIFIED butterfly structure"
"6","Attractors","Pickover Attractor","Solid reddish-pink background with random flecks of yellow/gree and blue","01:15.58","","","","","✅ PHASE 2 COMPLETE: OrbitIterator implemented, histogram renderer operational"
"7","Attractors","Rössler Attractor","Semi-circular bands of color; some diffuse, some sharply defined, some repeating ovals in a band","00:22.42","","","","","✅ PHASE 2 COMPLETE: OrbitIterator implemented, histogram renderer operational"
"39","Chaotic Maps","Gingerbread Man","Diagonal Bands of flecks with diffuse surroundings.  Where's the Man?","00:19.90","Same rendering","Yes","","","✅ PHASE 2 COMPLETE: Moved from Attractors to Chaotic Maps (2D discrete map), histogram renderer operational"
"10","Barnsley","Barnsley J1","","","","","","",""
"11","Barnsley","Barnsley J2","","","","","","",""
"12","Barnsley","Barnsley J3","","","","","","",""
"13","Barnsley","Barnsley M1","","","","","","",""
"14","Barnsley","Barnsley M2","","","","","","",
"15","Barnsley","Barnsley M3","","","","","","",
"16","Bifurcation","Henon Map Bifurcation","","","","","","",
"17","Bifurcation","Lambda Bifurcation","","","","","","",
"18","Bifurcation","Logistic Bifurcation","","","","","","",
"19","Bifurcation","Mandelbrot Parameter Space","","","","","","",
"20","Bifurcation","May-Lyapunov Reference","","","","","","",
"21","Bifurcation","Orbit Diagram","","","","","","",
"22","Burning Ship Family","Burning Ship (Power 3)","","","","","","",
"23","Burning Ship Family","Burning Ship (Power 4)","","","","","","",
"24","Burning Ship Variants","Bird of Prey","","","","","","",
"25","Burning Ship Variants","Buffalo Burning Ship","","","","","","",
"26","Burning Ship Variants","Burning Ship Cubic","","","","","","",
"27","Burning Ship Variants","Burning Ship Quartic","","","","","","",
"28","Burning Ship Variants","Burning Ship Quintic","","","","","","",
"29","Burning Ship Variants","Celtic Burning Ship","","","","","","",
"30","Burning Ship Variants","Diagonal Burning Ship","","","","","","",
"31","Burning Ship Variants","Partial Burning Ship","","","","","","",
"32","Burning Ship Variants","Perpendicular Burning Ship","","","","","","",
"33","Burning Ship Variants","Reverse Burning Ship","","","","","","",
"34","Burning Ship Variants","Shark Burning Ship","","","","","","",
"35","Burning Ship Variants","Vertical Burning Ship","","","","","","",
