GroupName,PropertyName (PNG),PropertyName (JPEG),Description,Special Notes,PNG Support,JPEG Support
"Basic Identification","/tEXt/Title","/app1/ifd/{ushort=270}","Image title or name","JPEG uses TIFF IFD tag 270 (ImageDescription)",Yes,Yes
"Basic Identification","/tEXt/Author","/app1/ifd/{ushort=315}","Creator or author of the image","JPEG uses TIFF IFD tag 315 (Artist)",Yes,Yes
"Basic Identification","/tEXt/Description","/app1/ifd/{ushort=270}","Detailed description of image content","Same as Title in JPEG; can use XMP for separate description",Yes,Yes
"Basic Identification","/tEXt/Copyright","/app1/ifd/{ushort=33432}","Copyright notice","JPEG uses TIFF IFD tag 33432 (Copyright)",Yes,Yes
"Basic Identification","/tEXt/Software","/app1/ifd/{ushort=305}","Software used to create/modify image","RECOMMENDED: Use 'ManpLab v1.0.0' format for version tracking",Yes,Yes
"Basic Identification","/tEXt/Source","/app1/ifd/{ushort=270}","Source code repository or origin URL","RECOMMENDED: Use 'https://github.com/markhassellsmith/ManpLab' for attribution",Yes,Yes
"Basic Identification","/tEXt/Comment","/app13/irb/8bimiptc/iptc/caption abstract","General comment or caption","PNG uses tEXt chunk; JPEG can use IPTC or EXIF UserComment; can include attribution",Yes,Yes
"Basic Identification","/tEXt/UserNotes","/app1/ifd/exif/{ushort=37510}","User's personal notes for tagging/organization","RECOMMENDED: Multi-line text from Properties panel 'Personal Notes'; 500+ chars; tag files for special projects",Yes,Yes
"Date and Time","/tEXt/Creation Time","/app1/ifd/exif/{ushort=36868}","Date and time of original creation","Format: YYYY:MM:DD HH:MM:SS for EXIF; flexible for PNG",Yes,Yes
"Date and Time","N/A","/app1/ifd/exif/{ushort=36867}","Date and time when photo was taken (EXIF DateTimeOriginal)","JPEG-specific for photographs",No,Yes
"Date and Time","N/A","/app1/ifd/{ushort=306}","Date and time of last modification","JPEG uses TIFF IFD tag 306 (DateTime)",No,Yes
"Fractal Parameters","/tEXt/FractalFamily","N/A","Fractal family/category grouping (e.g., 'Classic Escape-Time', 'Newton Method')","RECOMMENDED: Browser folder name for user recognition; use 'Fractal Family' (with space) in UI",Yes,Partial
"Fractal Parameters","/tEXt/FractalName","N/A","Display name of specific fractal (e.g., 'Mandelbrot Set', 'Burning Ship')","RECOMMENDED: User-friendly fractal name as shown in browser",Yes,Partial
"Fractal Parameters","/tEXt/FractalType","N/A","Internal fractal identifier (e.g., 'Mandelbrot', 'BurningShip')","Technical identifier matching internal registry key",Yes,Partial
"Fractal Parameters","/tEXt/CenterX","N/A","X coordinate (real part) of fractal center in complex plane","Custom application-specific metadata; stored with 15-17 digit precision",Yes,Partial
"Fractal Parameters","/tEXt/CenterY","N/A","Y coordinate (imaginary part) of fractal center in complex plane","Custom application-specific metadata; stored with 15-17 digit precision",Yes,Partial
"Fractal Parameters","/tEXt/ZoomFactor","N/A","Zoom level or magnification factor","JSON: 'ZoomFactor'; UI: 'Zoom:'; replaces older 'Zoom' property name",Yes,Partial
"Fractal Parameters","/tEXt/ViewWidth","N/A","Width of visible complex plane region","Calculated from resolution and zoom; provides mathematical scale reference",Yes,Partial
"Fractal Parameters","/tEXt/ViewHeight","N/A","Height of visible complex plane region","Calculated from resolution and zoom; provides mathematical scale reference",Yes,Partial
"Fractal Parameters","/tEXt/MaxIterations","N/A","Maximum iteration count for escape-time algorithm","Custom application-specific metadata",Yes,Partial
"Fractal Parameters","/tEXt/AutoScaleIterations","N/A","Whether max iterations auto-adjust with zoom (true/false)","Indicates if MaxIterations is user-set or dynamically calculated",Yes,Partial
"Rendering Parameters","/tEXt/PaletteName","N/A","Color palette/scheme name (e.g., 'Classic', 'Neon', 'Rainbow')","JSON: 'PaletteName'; UI: 'Palette:'; replaces older 'ColorPalette'",Yes,Partial
"Rendering Parameters","/tEXt/IterationMode","N/A","Algorithm variant (e.g., 'Standard', 'Julia', 'Hailstone')","Identifies which iteration algorithm was used",Yes,Partial
"Rendering Parameters","/tEXt/ResolutionWidth","N/A","Image width in pixels","JSON: 'ResolutionWidth'; replaces 'ImageWidth' for clarity",Yes,Partial
"Rendering Parameters","/tEXt/ResolutionHeight","N/A","Image height in pixels","JSON: 'ResolutionHeight'; replaces 'ImageHeight' for clarity",Yes,Partial
"Render Statistics","/tEXt/ResolutionMegapixels","N/A","Resolution in megapixels (Width × Height / 1,000,000)","Derived metric for quick resolution reference and filtering",Yes,Partial
"Render Statistics","/tEXt/RenderTimeSeconds","N/A","Render duration in seconds","Converted from ComputeTimeMs; useful for performance analysis",Yes,Partial
"Render Statistics","/tEXt/EscapePercentage","N/A","Percentage of pixels that escaped iteration threshold","Indicates visual complexity; lower % = more detail/structure",Yes,Partial
"Fractal Parameters","/tEXt/JuliaConstant","N/A","Julia set constant (c value) if applicable","Custom application-specific metadata",Yes,Partial
"Application Metadata","/tEXt/ManpLabMetadata","N/A","Complete JSON metadata block for ManpLab","CRITICAL: Single consolidated property containing all parameters for reproduction",Yes,Partial
